No. Resp;Kelas;Gender;Ability to use Media (Am);;;;;;;;;;;;;Managing digital learning Platforms (Mp);;;;;;;;;Advanced use of Digital Media (Adm);;;;;;;;;;;;;Ethics and safety in the use of digital media (Es);;;;;;;;;;;;;;
;;;Am1;Am2;Am3;Am4;Am5;Am6;Am7;Am8;Am9;Am10;Am11;Am12;Am13;Mp1;Mp2;Mp3;Mp4;Mp5;Mp6;Mp7;Mp8;Mp9;Adm1;Adm2;Adm3;Adm4;Adm5;Adm6;Adm7;Adm8;Adm9;Adm10;Adm11;Adm12;Adm13;Es1;Es2;Es3;Es4;Es5;Es6;Es7;Es8;Es9;Es10;Es11;Es12;Es13;Es14;Es15
27;2;1;4;4;3;4;4;4;4;3;4;4;4;4;3;4;3;3;3;4;3;4;4;4;3;4;3;3;3;3;3;4;3;3;3;3;3;4;4;3;4;3;4;4;4;4;4;4;4;4;3;4
28;2;2;5;5;3;5;4;5;5;3;5;4;5;5;4;4;3;3;3;4;4;3;5;4;3;3;3;3;3;3;3;4;3;3;3;3;4;5;5;4;4;4;5;4;4;3;4;4;4;4;4;4
29;1;2;4;3;4;4;4;4;4;4;4;5;5;3;5;5;5;3;4;3;3;3;5;4;4;2;3;3;4;4;3;4;3;3;3;4;4;4;4;4;4;4;4;4;5;4;4;4;4;3;5;3
30;1;2;4;4;4;4;4;4;2;4;4;3;3;4;4;3;3;3;3;3;2;3;4;4;3;3;3;3;3;4;3;4;3;3;4;4;4;4;4;4;4;4;5;4;3;3;3;3;4;4;4;3
31;2;2;4;4;2;3;4;4;5;3;4;4;4;4;4;3;1;2;3;3;4;2;5;3;3;2;4;3;2;2;2;2;2;1;2;2;4;3;4;2;2;3;4;4;3;4;4;4;4;3;4;3
32;3;2;4;4;4;4;2;2;2;4;4;4;3;3;3;3;2;4;3;2;4;3;3;4;2;4;3;2;4;4;4;3;3;2;4;4;3;4;4;4;4;4;2;2;3;2;2;4;4;3;2;4
33;1;1;2;5;1;4;4;4;4;4;4;4;3;5;4;3;2;2;4;3;4;4;5;4;4;4;3;3;5;4;3;4;3;3;4;4;4;5;5;5;4;3;3;4;4;4;3;4;3;3;3;3
34;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;4;4;5;5;5;5;5;3;4;2;4;4;3;4;5;4;2;2;2;3;5;5;2;4;4;5;4;4;4;2;5;4;5;3;5
35;1;2;4;4;3;2;4;4;4;3;2;4;4;2;4;4;2;4;4;1;4;2;2;2;4;4;2;4;2;4;2;4;4;2;4;2;2;4;2;4;4;2;2;4;2;4;2;4;2;4;2;4
36;2;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;4;4;4;4;4;4;4;3;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4
37;2;2;5;4;4;4;4;4;4;4;5;4;5;5;4;4;3;3;3;4;4;4;5;4;3;3;4;3;3;4;4;3;3;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4
38;2;2;3;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;4;4;3;4;4;4;4;2;3;4;4;4;4;3;4;2;3;3;4;3;3;4;4;4;4;4;4;4;3;4;4;3;3;4
39;2;1;4;3;3;4;4;4;3;5;4;3;4;4;4;3;4;4;3;3;4;4;5;3;3;3;4;3;4;4;3;4;3;3;3;3;4;4;5;4;3;4;4;4;5;5;5;5;5;3;4;5
40;1;1;3;3;2;3;3;3;4;3;3;3;3;3;2;3;3;3;3;3;3;3;4;4;3;3;3;3;4;4;4;4;4;3;4;4;4;4;4;4;4;5;5;3;3;3;4;5;2;2;3;3
41;2;2;3;4;5;5;2;5;5;4;5;5;4;4;2;5;5;4;2;3;3;4;5;2;3;3;3;2;3;3;3;2;2;3;3;3;3;5;4;3;3;4;3;4;3;3;3;3;3;3;3;3
42;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
43;1;1;4;4;4;4;3;4;4;3;4;4;4;4;4;4;2;4;4;3;3;4;4;4;4;2;2;5;4;4;4;4;2;4;4;4;3;4;4;4;4;3;4;4;4;4;2;3;2;2;4;4
44;1;1;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;3;5;4;4;4;2;4;3;2;2;4
45;1;1;4;4;3;3;3;3;4;3;4;5;4;4;3;2;2;2;2;2;3;2;4;3;2;4;5;3;3;3;3;2;2;3;3;3;4;4;4;3;3;3;4;4;5;3;3;3;3;2;3;3
46;2;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
47;2;1;5;5;5;5;4;1;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;4;3;5;5;4;5;4;5;4;4;4;4;5;5;5;5;5;5;4;5;4;4;5;5;4;3;4
48;1;1;4;4;4;4;3;4;4;4;4;4;4;4;4;4;3;3;4;4;3;4;4;4;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4
49;2;2;5;4;2;5;5;5;5;5;5;4;5;5;5;5;3;5;4;5;5;5;5;5;5;3;3;3;5;5;5;5;4;4;3;3;5;5;5;4;5;5;5;3;3;5;1;2;5;4;4;5
50;1;1;2;5;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;3;3;4;4;3;4;3;3;4;4;4;4;5;4;4;4;4;4;4;4;4;4;5;5;3;5;4
51;2;1;4;4;5;5;3;4;5;3;5;5;5;4;3;3;3;3;2;3;2;3;5;4;3;3;2;2;2;4;4;3;3;2;2;2;2;5;5;2;3;4;5;5;5;3;4;5;5;5;3;4
52;2;1;4;4;2;5;2;4;4;3;5;4;5;4;4;3;2;3;3;4;2;3;4;3;4;2;2;3;4;4;4;3;3;2;2;2;4;4;5;4;4;4;5;4;4;3;4;5;4;3;4;5
53;2;1;4;4;2;5;2;4;4;3;5;4;5;4;4;3;2;3;3;4;2;3;5;4;4;2;2;3;4;4;4;3;4;4;2;2;4;4;5;4;4;4;5;4;4;3;4;5;5;4;4;5
54;2;2;3;4;2;4;4;4;4;3;5;5;4;4;3;2;2;2;2;3;4;4;4;4;2;3;3;2;4;4;4;4;3;3;3;3;3;4;4;4;4;5;4;4;4;5;4;4;4;4;3;4
55;2;1;4;4;4;4;4;4;4;3;4;3;4;4;3;3;3;3;2;2;3;3;4;3;3;2;2;3;4;3;3;2;2;3;2;2;3;3;4;4;3;3;4;4;4;3;4;4;3;2;3;3
56;2;2;3;3;5;3;4;4;3;3;5;5;5;3;3;4;3;3;3;3;3;3;5;4;3;3;4;3;3;3;4;4;3;4;3;3;3;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5
57;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;3;4
58;3;1;5;5;5;5;5;5;5;4;3;4;5;4;4;4;4;4;3;3;4;5;5;5;5;5;5;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;5
59;3;1;5;2;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;3;3;4;4;4;3;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4
60;3;1;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;3;4;4;5;5;5;5;5;4;5;5;5;4;4;5;5;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
61;3;2;4;4;4;4;3;4;3;3;4;4;4;4;4;4;3;3;3;3;3;4;4;4;3;3;2;3;3;4;3;3;3;3;3;3;3;4;4;4;4;3;4;4;3;3;4;4;4;3;3;3
62;3;1;5;3;5;5;2;3;5;5;4;5;5;5;5;4;3;3;2;5;3;5;5;4;1;4;5;3;4;4;4;3;4;2;3;4;5;4;4;3;4;4;4;4;4;4;4;4;4;3;5;5
63;3;2;5;4;5;5;4;5;4;4;4;5;4;5;4;4;4;3;3;4;4;4;5;4;4;3;3;5;5;4;4;4;4;4;3;3;2;4;5;5;4;5;1;4;4;4;4;5;4;4;4;5
64;3;2;4;4;5;4;3;4;4;4;3;3;5;4;4;3;4;4;3;4;4;4;4;4;4;4;2;4;3;4;4;4;4;4;3;3;3;4;5;3;4;4;4;4;4;4;4;4;4;2;3;4
65;3;2;5;5;5;1;1;5;4;3;3;4;5;3;5;3;3;3;3;4;4;4;4;4;4;4;3;3;4;2;3;2;2;2;2;2;4;4;4;4;3;3;4;4;4;4;5;3;4;2;2;5
66;3;1;5;5;5;5;4;4;5;5;5;5;5;5;5;5;4;4;4;5;4;5;5;5;5;4;4;5;5;5;5;5;5;4;4;4;4;5;5;4;5;5;5;5;5;5;5;4;4;3;5;5
67;3;2;5;5;4;4;3;4;3;4;3;5;4;5;3;3;3;3;3;4;4;3;5;3;3;2;2;4;5;4;4;3;5;3;3;3;3;4;4;4;5;4;3;3;4;5;3;4;5;3;3;3
68;3;1;5;4;5;5;4;4;4;4;4;4;5;5;4;4;4;4;4;4;4;4;5;5;4;4;4;5;5;5;5;4;4;4;5;5;4;5;5;4;4;4;5;4;5;5;4;4;5;2;2;5
69;3;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;5;5;5;5;4;4;5;4;4;4;4;4;5;4;4;4;4;5;4;4;4;5;5;5;5;5;3;5;3;3;4
70;3;1;3;4;4;4;3;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;3;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;4
71;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
72;2;1;5;5;4;5;5;5;4;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
73;1;2;3;4;4;4;5;5;2;3;4;4;4;4;4;4;4;3;2;2;2;2;4;4;1;1;4;4;5;3;4;5;5;2;3;1;4;2;4;2;5;2;5;4;2;3;2;3;4;2;2;1
74;1;2;4;4;5;3;3;2;3;3;3;5;3;4;2;1;2;3;4;4;3;4;5;5;4;3;4;5;3;5;5;5;4;3;3;3;2;3;3;3;2;2;2;3;5;2;5;2;3;4;3;5
75;1;2;4;4;5;5;5;4;5;5;5;5;4;2;5;4;3;2;4;3;4;2;5;5;4;3;5;4;5;4;3;5;4;5;1;4;3;5;1;4;3;5;4;5;1;3;5;4;5;3;5;4
