Urbanization_level,Age,Self_efficacy,Inservice_training,Digital_activity,Gender,Information_skills,Teacher_type
3,43,0.6,0,0.575,0,1.24166666666667,0
1,36,0.4,0,0.55,0,1.26388888888889,0
3,30, , ,0.6,0,1.375,0
3,30,1,1,0.525,1,1.57638888888889,0
1,46, , ,0.525,0,1.60416666666667,0
3,33,1,0.2,0.65,0,1.625,0
3,28,1,1,0.55,1,1.73611111111111,0
1,64, , ,0.4,0,0.458333333333333,0
2,45, , ,0.425,0,0.597222222222222,0
2,61, , ,0.525,0,0.611111111111111,0
2,51,0.2,0,0.475,0,0.819444444444444,0
3,34,0.6,0,0.5,0,0.916666666666667,0
3,51,0.2,0,0.15,0,0.944444444444444,0
3,43,0.4,0,0.325,0,1.02777777777778,0
3,36, , ,0.725,0,1.04166666666667,0
3,53,1, ,0.4,1,1.06805555555556,0
2,64,0.2,0.2,0.35,0,1.13888888888889,0
3,33, , ,0.425,0,1.13888888888889,0
2,33,0.2,0,0.45,0,1.15972222222222,0
3,48,0,0,0.625,1,1.16527777777778,0
3,28, , ,0.575,0,1.23611111111111,0
3,38,0,0,0.525,0,1.24305555555556,0
3,56,0.6,0,0.3,0,1.25,0
1,43, , ,0.6,0,1.26388888888889,0
2,57, , ,0.55,0,1.27777777777778,0
3,38,1,0.4,0.625,0,1.29166666666667,0
3,34,0.2,0.2,0.475,0,1.30555555555556,0
2,50,1,1,0.575,0,1.30972222222222,0
3,51, , ,0.325,0,1.31111111111111,0
3,38, , ,0.7,0,1.33333333333333,0
2,33,0.6,0.2,0.725,1,1.34027777777778,0
3,35, , ,0.475,0,1.34027777777778,0
2,59,0.4,0,0.475,0,1.34722222222222,0
3,26, , ,0.3,0,1.34722222222222,0
1,54,1,0.8,0.4,0,1.34722222222222,0
3,36, , ,0.425,1,1.34722222222222,0
2,55, , ,0.825,0,1.35416666666667,0
3,35,0.6,0,0.525,0,1.36805555555556,0
3,55,0.4,0,0.575,1,1.39444444444444,0
3,38, , ,0.475,0,1.42222222222222,0
1,33,0.6,0.4,0.45,0,1.43055555555556,0
3,45,0.8,0.6,0.475,0,1.44444444444444,0
